,name,location,date,content
23,Judson Haverkamp,US,21 hours ago,"The recommended policy would have met my needs at greater expense than needed since the ""waiver"" of preexisting conditions for which I would have paid extra was available at no charge on the policy I purchased, conditional only upon my making the purchase within a short time after I made my initial purchase (airfare) for the trip."
24,Customer,US,A day ago,Both Anna and Nicole were very helpful and professional!
25,Sue,US,A day ago,We were helped by Helicia to set up a policy and she was very helpful
26,Customer,US,A day ago,I chose my policy based on the clear explanation I received from the agent. I did not find that elsewhere. She listened carefully and responded accordingly.
27,John,US,A day ago,This is our first experience with using the Aardy.com trip insurance website. This site came as a recommendation from a fellow traveler. The formatting of the site made it easy to review and compare policies and pricing is very competitive.
28,Mp,US,A day ago,The agent was very helpful in helping me make a decision on which policy to pick for my trip to Sweden.
29,Allen Fields,US,A day ago,Jamie was knowledgeable and friendly and the entire process was quick and easy.
30,Customer,US,A day ago,Very simple and straightforward. Cost appears to be good compared with other sites
31,Customer,US,A day ago,"Great price, easy access, called and talked to agent which answered all my questions, was very professional and polite."
32,Customer,US,A day ago,Jamie was very knowledgeable and helpful.  Customer service was great!
33,Son Gold I Do,SD,A day ago,My all problems are here with me My dreams are to travel to Europe to work there and save my poor family with me God look at my bad feelings in the world and change them let my hope my dreams and save my poor family free keep them Alife forever My heart is break 💔 😢 by seeing these situations 💔 I'm now
34,Customer,US,A day ago,N/A
35,Kristy,US,2 days ago,"Made it very easy to compare policies. Hopefully, we won’t need to use it, but feel safer knowing we have an A policy company protecting us!"
36,Customer,US,2 days ago,"I was helped by 3 of your employees. Stacy, Nicole and Darren at different times.They were all very helpful, courteous and professional.A real pleasure to work with.Rita Arata"
37,Looking To Travel,US,2 days ago,"The staff have been very helpful! I spoke to Denise, Israel, Brad and Kayly.  They were all knowledgeable and patient, answering all of my questions.  I wouldn't hesitate to recommend Aardy as a wonderful travel insurance marketplace.       I especially like the instant availability of the online chat. But then as soon as it became complicated, they offered to call me so we could speak in person.  Other travel insurance sites didn't do this and it really helped answer my detailed questions."
38,Cher,US,2 days ago,"Needed a little extra assistance...We will be traveling with my 101 year old mother & the web site's birth year only goes back to 1923. After 'chatting' with Kayla, she had Brandon call me. He in turn conferred with others to work things out.thank you!"
39,Customer,US,2 days ago,"Jaimee was very professional and patient, his mannerism was very polite.Everything was handled in a quick and professional manner."
40,Customer,US,2 days ago,"Excellent service! Thanks, Jerome!"
41,Tamia O.,US,2 days ago,They have immaculate customer service my god!!!
42,Christina,US,2 days ago,Denise was very informative and was able to explain the answers to my questions thoroughly.
43,Bonnie,US,2 days ago,I sent an email for suggestions on travel insurance. Within minutes I had a response. I answered the relevant questions and again within minutes received my choice of plans. The cost was very reasonable and I clicked  on Buy Now and was done very quickly. Excellent service
44,Tom,US,2 days ago,"I spoke with Denise, who was very courteous, efficient, and patiently answered our questions. Working with Aardy was a smooth and enjoyable experience which helped take the guesswork out of the many confusing options facing us before our trip."
45,Diane Russell,US,2 days ago,This site worked very well for me.  I was able to compare policies and I hope make a good decision.  It was easy to use.
46,Customer,US,2 days ago,"so easy to use and so much available help if needed, great experience. i needed a date change and agent helped me quickly and friendly"
47,Customer,US,2 days ago,It was easy getting a quote and purchasing a policy to fit our needs.
48,Customer,US,2 days ago,Contact person had high degree of knowledge about the insurance needs of our vacation  location.
49,Customer,US,2 days ago,"Agent Denise, has been an outstanding person to work with.Saran Roley"
50,Customer Kathy,US,2 days ago,Checked out their website and called with specific questions.  Reps were great.   Had all questions answered and quote sent to me in no time.    A family member had quote from different agency and theirs was slightly higher for less coverage.
51,Dennis,US,2 days ago,Very easy to purchase travel insurance.  Hopefully will not need to use it.
52,Customer,US,2 days ago,They made it quick and easy to purchase flight insurance
53,Raymond Lanham,US,2 days ago,"Reliable and accessible, always my choice!"
54,Ritik,IN,2 days ago,N/A
55,Senior Solo,US,3 days ago,"Quick, clear & easy!"
56,"Mgm,Od",US,3 days ago,Our trip is a few weeks away. I didn’t want to travel without insurance. Nicole helped me find protection for our trip at a very reasonable price. It was a good experience.
57,Marilyn ,US,3 days ago,Ryan and Jerome couldn't have been more helpful!  I was trying to find a medical travel policy on my own and it was overwhelming.  They smoothed the way and the transaction was completed in a couple of minutes.
58,Mary Lucek,US,3 days ago,"I received outstanding service from McKenna. Explanations, options, benefits and costs were all covered. She was a delight to work with. The call dropped and she called back immediately. What a contrast to our overly mechanized world to have direct, positive human contact."
59,Customer,US,3 days ago,"The agent I spoke to was fantastic.  Of course, the proof of the policy will be what happens if we have to use it; which hopefully won't happen"
60,Customer,US,3 days ago,N/A
61,Customer,US,3 days ago,It was very easy to immediately chat with an agent.  Ryan helped my right away and I feel very comfortable with the choice he helped me make.
62,Jgpb,US,3 days ago,"Thank you for the fast, easy service. Israel provided accurate information and I purchased a policy."
63,Customer,US,3 days ago,Denise was very helpful in finding the correct travel insurance for my self and my wife….  Thank You!
64,Hannah,US,3 days ago,Very easy to use.  The on line chat was helpful.  I feel we purchased a good product.
65,Louis,US,3 days ago,N/A
66,D.Asseraf,US,3 days ago,Great experience! Stacy was extremely helpful and professional in assisting me with my insurance needs.
67,Elizabeth,US,3 days ago,The staff who helped me booked my insurance was very nice and patient. She answers all my questions and concerns. Thank you so much for such a great customer service.
68,Customer,US,3 days ago,"Process of choosing and buying this policy was made simple and pleasant by the work of Brandon, your agent.This is the fourth policy we have purchased for various travels, and would have to say it was seemless!You have two very satisfied clients!"
69,Robert Cornelius,US,3 days ago,Extremely helpful in guiding us through our travel insurance needs.
70,Customer,US,3 days ago,The agent was very helpful and informative.
71,Karla  ,US,3 days ago,I called for information three different times and every time I was able to speak to somebody that was knowledgeable understandable and friendly. They also answered promptly. I feel fairly certain that if I have any trouble while on our trip and need to call I will receive satisfaction.
72,Customer,US,3 days ago,Melanie was knowledgeable and efficient. Thank you for the service
73,K Ghosn,US,3 days ago,"The AARDY agent was so clear, professional, and thorough. She answered all my question swiftly, and I bought the policy on the spot. Thank you!!Khalil J Ghosn"
74,Customer,US,3 days ago,Steven was great. He examined all the companies to give us the coverage we were looking for.
75,Louis,US,3 days ago,No long waits. Excellent  customer service. Clear explanations. Reasonable price for travel insurance that meets my needs.
76,Customer,US,3 days ago,"I was so glad I found Aardy to help with our trip insurance.  Everyone I spoke to was friendly.  I was amazed at how connected the team is with customer inquiries.  I did not have to repeat my request at all with multiple interactions on different days.  They have all the information I originally entered, doesn't matter how I interacted with Aardy. Phone, chat, or email.  I wish all service business are like them."
77,Customer,US,3 days ago,Kayla was so helpful and took her time making sure I got the right policy for my needs.Very impressed with her and your  company .Also called and talked to Aaron who also made sure I got the right coverage. Thanks for all your help.
78,Susan K.,US,3 days ago,This was one of the easiest sites I have ever found.  I thank you!
79,Dan,US,3 days ago,Excellent service from Ryan via chat on 4/26 and Denise on the phone on 4/27.
80,Customer,US,3 days ago,Buying this insurance was very easy. I’m hoping my trip will be successful and I will not need to use its benefits.
81,Bill,US,3 days ago,"The customer support agent (McKinna) was great at providing a lot of detail about how the insurance plans work, what they cover and don't cover along with her experience in her interactions working with the company chosen (Trawick) when there were claims to be filed or other inquiries. I never felt rushed or feeling like there was some sales pitch to get me off the phone. We continued talking through all my questions till I was clear and satisfied with purchasing my travel insurance. Thank you McKinna for all of your help!Bill W."
82,Carol Fenley,US,3 days ago,"This is the only business I have called and actually had a person answer the phone without going through a menu of numbers to press. It was wonderful. I was nervous and undecided about which insurance I should buy for my trip to the UK  and had several questions. I actually called 3 times. The first time I called I spoke to Stacy and she was so sweet and helpful and answered the questions I had. The next time I called I spoke to Matthew who was friendly and helpful also. After speaking to Matthew I was ready to buy the plan that Stacy and I discussed. Both Mathew and Stacy made this an easy process by being helpful and professional. When I was filling out my info on line I realized I had made a mistake on the date I first bought our plane ticket so when I went to ""edit my plan"" and the price of the plan went down. It kicked me back to the plan selection page. This confused me  because I had filled out all the info they asked for, so I called again and spoke to Louis who was also very helpful and pleasant. I had to start over and fill out info again. I think you must do an excellent job on training and customer service. Stacy, Mathew and Louis were all so friendly and helpful. They all actually acted as if they liked their job. I highly recommend Aardy!"
83,Customer,US,3 days ago,Very helpful.   Started with a chat and then they called me to explain more.  Provided other options that were even better for less money.   Very knowledgeable.
84,Kevin S.,N/A,3 days ago,N/A
85,Customer,US,4 days ago,"I spoke with agent McKinna and she was very helpful, answered all my questions and very happy with the service."
86,Customer,US,4 days ago,Good rate. Great service. Documents were delivered almost immediately.
87,Customer,US,4 days ago,"Very friendly, helpful, and knowledgeable. Excellent representative, he helped me to better understand travel insurance and feel confident in my purchase."
88,Joseph,US,4 days ago,representatives are very knowledgeable and patient with explaining the programs
89,David Hastings,US,4 days ago,"Easy, fast, and an exceptionally good value. I spoke to two agents, both of which were exceptionally helpful. Ensuring my overseas trip turned out to be easy fast and cheap! Who would’ve known!?"
90,Missyhu,US,4 days ago,"We started with chat and were able to do a 3 way call which was great. Jerome helped us and answered every question. He was very kind and courteous and very attentive. Excellent customer service person!Travel Guard was recommended and gave us the best for the least cost. It was easy to work with Jerome and pay over the phone. We like that we have some time to look the policy over in case it doesn't suit as well as it seems, however it looks very good!!! Jerome was the best!"
91,Sheri,US,4 days ago,"For the price and coverage, we are pleased.   The proof is in the pudding, though, should we actually need the insurance due to unforseen circumstances, we're hoping the service will be as good as it seems.Thank you.Sheri"
92,Crogers,US,4 days ago,I called with a few questions and clarification of what secondary coverage was.  The agent was very knowledgeable and answered all my questions.  I also wanted to know if COVID was covered...it was under medial coverage.
93,Customer,US,4 days ago,Very easy to purchase.  Reasonably priced.  Hopefully customer service if needed results in a favorable resolution.
94,Customer,US,4 days ago,Kind helpful advice. Thanks.
95,Ken Tolchin,US,4 days ago,"Phone support from Kayla was OUTSTANDING!!!It is refreshing to have someone answer the phone at all, and then know exactly what they are doing, and answer every question!  Kudos!!!"
96,Julie Faria,US,4 days ago,I have taken insurance through your company before and is quite reasonable therefore I returned to this company.
97,Customer,US,4 days ago,"Was quick and the live chat was practical and helpful. Wish I had known about them for past trips. Paid much less for a plan than I would have if I had gone with the company I usually use.  Now it's with a company I never heard of, but I'm willing to take the risk to have some peace of mind. Getting it mostly for the medical coverage since my health insurance policy is so hard to use abroad."
98,Pat Ross,US,4 days ago,"I got good advice and answers to all my questions when I called the agent. The comparison marketplace was easy to understand, easy to compare plans.  The articles on Covid were helpful in understanding cancellations etc.  All in all, I highly recommend this service."
99,Vincent,US,4 days ago,They promised that I would receive my policy in 2 hours. I have not received a confirmation of benefits.
100,Customer,US,4 days ago,In the past I've done my own research and purchased travel insurance directly. The continuing Covid Pandemic makes traveling international more difficult in 2022. I called Aardy.com. My conversation resulted in speaking 3 different agents over the course of three discussions. Each conversation resulted in learning of new options from the agent. The result was better insurance coverage at less cost than what I had found on my own.
101,Customer,US,4 days ago,Brandon was extremely knowledgeable about the plans and helpful in finding a plan that addressed my concerns. I highly recommend calling him and getting all your questions answered before purchasing a policy.
102,Customer,US,4 days ago,"The agent Nicole was very knowledgeable, well versed in the policies and answered all questions and was intuitive to know what other related information would be helpful for us to make our decision.  I am confident that Nicole assisted me in picking the right policy for our trip.  Nicole was excellent!"
103,Joyce G.,US,4 days ago,Excellent experience speaking with Jerome this morning.  Explained my need for medical insurance for a 3-day stay in Canada at the end of a cruise. Jerome understood my request and provided a satisfactory insurance option.
104,Deborah Schoenauer,US,4 days ago,Jaimie made it very easy.  He answered all of questions and he was very good at helping me to understand the product I was purchasing.
105,Mark Mann,US,4 days ago,The customer service rep (Katrina) was very helpful and patient with our numerous questions. She was very knowledgeable and helped us make the best selection for our needs. Thanks very much.Mark and Delia Mann
106,Jan,US,4 days ago,rep was very knowledgeable and answered my questions thoroughly
107,Customer,US,4 days ago,N/A
108,Customer,US,4 days ago,Purchased 2 policies through Aardy. Process was easy and seamless. Customer service rep very helpful. Hopefully won't need to file a claim
109,Customer Gary Rackley,US,4 days ago,I searched many sources for travel insurance. Your agent Anna was by far the most helpful and your prices for total and comprehensive coverage were the most fair and reasonable. Thanks!
110,Dave ,US,4 days ago,I had a cruise planed and had to cancel it last June 2021. Do to I'm a veteran and have been working on a claim for 7 years with the V. A. The V A set up a hearing with a federal judge right in the middle of this cruise. If I tried to move this hearing it might take another year to get it done. I loss money with the insurance offered by the cruise line as they would not refund.
111,Customer,US,4 days ago,N/A
112,Vonell Hooker,SA,4 days ago,N/A
113,Anya Kristiansen,AU,4 days ago,They did an excellent job of locating a wide range of travel insurance choices for me. I asked the proper questions to ensure that the selections were a good fit for my needs. Excellent service with fast turnaround times.
114,Paul,US,5 days ago,Filling out the basic information was quick and easy and it generated a good number of options from several insurance carriers - all highly rated . A follow-up phone call to better understand the insurance terminology was quickly answered by Kayla and she was very helpful . We will use Aardy again .
115,Teresa F,US,5 days ago,The representative was very helpful in getting us the insurance we need.
116,Jerru Fleischhacker,US,5 days ago,"Excelleny service, reasonable rates."
117,Customer,US,5 days ago,Just purchased my travel insurance. Thanks so much for the fast affordable quote! I feel better knowing we will be covered on our trip now!
118,Customer,US,5 days ago,Fast service. Great customer service.
119,Jeffrey Haubrich,US,5 days ago,"Wanted medical coverage insurance for our up coming cruise, Chatted with Agent Israel S. he showed me the plans and recommended the one that would fit our needs, told me how to purchase, and I did,he was very helpfull and courteous the whole time, highly recommended!!"
120,Customer,US,5 days ago,Nicole was very helpful and knowledgeable.
121,Lynne,US,5 days ago,Easy to use. Good rates. Clear description of different plans.
122,Dusty,US,5 days ago,Traveling abroad without insurance is NOT a good idea. With Ardy.com you can insure exactly what you need for a low price.
123,Customer,US,5 days ago,Excellent customer service both for purchase and cancellation ( we had to cancel our trip prior to end of the 10 day review period). Will use again when we reschedule.
124,Pam,US,5 days ago,"Matthew is the best!  Friendly, informative, patient, and gets my husband's sense of humor.  That's a huge plus for me because occasionally we run into someone who doesn't understand why someone would order a side of shrimp with our insurance policy."
125,Charles Shearman,US,5 days ago,We spoke with Darren who was clear and concise. Information was promptly received via email. We decided to purchase the plan recommended and await our policy that was promised within two hours.
126,Customer,US,5 days ago,Kayla was exceptional in explaining details of the various coverages. Finally found someone who knew the products.
127,Customer,US,5 days ago,Information was very helpful.  Agent was responsive and timely.  Thanks for the help.
128,Laura,US,5 days ago,I  find  insurance  hard  to understand..  In  the  the  era  of  covid 19  its  even  more  complicated  to  figure  out.. In  my  quick phone  call my  questions  were  answered  it  was  an easy decision   with  the  right  information...  Thank you  for  your  help.
129,Phuong Nguyen,US,5 days ago,"The agent picked a phone quickly, If I have any questions for travel insurance policy. Or chat with them even Saturday."
130,L M Bardwell Jr,US,5 days ago,"What an exceptional and wonderful experience dealing with your company! From my “live” chat with Kayla to my phone conversation with Matthew to my finally booking the recommended plan with Beth! All your representatives were well informed, very polite & courteous & here’s something I found truly refreshing—they listened effectively not to mention addressed my particular needs right away, all things you don’t typically experience anymore. Thus a truly exceptional & wonderful experience right off the bat. I’ll contact your company in the future for our family trips & recommend your services to our friends.  Thank you!L M Bardwell, Jr"
131,Customer,US,5 days ago,N/A
132,Customer,US,5 days ago,The woman I worked with was very knowledgeable and made it quite easy for me to understand the differences in policies and select the policy that was best for me!!  She also followed up with an email summary of what we talked about and a link to quickly enroll if I desired.  It was really a seamless process!
133,Rhonda,US,5 days ago,"Very clear insurance policy!  Definitions precisely given. Plus, it is a great policy for our needs."
134,Donald Defranco,US,5 days ago,My agent was very easy to deal with and very knowledgeable. He was a pleasure to deal with .thank you
135,Ds,US,5 days ago,"I called to get a few questions answered about a couple of different policies.  I spoke with Matthew and he was very friendly and helpful.  He answered all my questions.  He processed my payment, and everything was done in a timely manner.  It was nice to have a real person answer the phone instead of having computer generated options that don't get you where you want to go anyway."
136,Yvette Taylor & Godfrey Anderson,US,5 days ago,Stacie assisted with the purchase of travel insurance for my family trip to the UK.  She was able to answer my questions regarding company comparisons  and coverage that would meet my requirements.  This is was my first time going through Aardy for travel insurance and I will definitely be a repeat customer
137,Barry,US,5 days ago,Very easy to use.  Comparisons were easy! Very reasonably priced options from which to choose.
138,Customer,US,6 days ago,"I called several times and spoke to different people each time.  They were all very pleasant and professional.  They shared information, answered questions and provided an experience that allowed me to use AARDY to secure my travel insurance with confidence"
139,Happy Customer,US,6 days ago,Very easy tp navigate.Chated with an advisor and was given an option to receive a call which I did almost immediately.Gave all pertinent details and got travel insurance for my kids at a very reasonable price.Thank you Aardy.com!
140,Customer,US,6 days ago,Good response
141,Mp,US,6 days ago,Live rep answered phone within a few rings. No hold time. Rep answered questions professionally and pleasantly. Quote received in minutes. Aardy is a travel insurance broker. Alleviates hold times with selected travel insurance company. Pricing same as direct purchase with insurance company without wait times.
142,George,US,6 days ago,Agent was extremely helpful and knowledgeable.  Easy to get quote and purchase the policy.
143,Stacy,US,6 days ago,"I called for specific information in regard to a policy to cover me for an International Trip. I was concerned about COVID and any costs I may incur if I was diagnosed with COVID during the trip and therefore, was unable to board a plan back to the United States.  The agent explained various details of several policies so that I could make the best decision for my trip."
144,Karol  Wright ,US,6 days ago,thanks for your help in getting our insurance for our trip
145,Joyce ,US,6 days ago,I tried calling and got an answering machine even though it was supposedly business hours on a Sunday morning.  Low and behold and agent called me back right away.  He was extremely cordial and efficient in getting me to a cancel-for-any-reason insurance for an upcoming trip.
146,Cab,US,6 days ago,"The folks were incredibly responsive, responding very quickly to email inquiries, even on a Saturday and Sunday, which was very much appreciated. The website brought me from zero to sixty on travel insurance. Their emails offered to call to execute the insurance if needed. That's so rare these days! However, after a few emails back and forth, i was able to complete the application online."
147,Customer,US,6 days ago,N/A
148,Mona Coy,US,6 days ago,N/A
149,Customer,US,6 days ago,N/A
150,Customer,US,6 days ago,N/A
151,Daniel,US,6 days ago,"I was looking for trip insurance, especially one yo cover any emergency medical expenses and medicaltransportation home if needed.Aardy was the easiest for me to view, understand and compare to others.  And the price was very competitive."
152,William Firth,US,6 days ago,"This company is easy to work with, competent, and good follow-up. All three of the representatives that we talked with Stacey, Brandon, and Anna were all excellent in explaining the best option for us. We will definitely continue to use them for future trips."
153,A Pleasant Life,US,6 days ago,Aardy was very helpful in narrowing down my choices for travel insurance.
154,Customer,US,6 days ago,"Very efficient working with you by phone.  Hopefully, i wont need to use the policy so it is hard to totally evaluate the experience at this time."
155,Jill,US,7 days ago,N/A
156,James Weyand,US,7 days ago,The agent I worked with when inquiring about the insurance was thorough and answered all my questions.  And the agent that I booked with was efficient and professional.  I did recommend Aardy to a friend who booked with them as well.
157,Jean,US,7 days ago,"Hi, I have just purchased Travel Insurance with Aardy!! I'm really impressed with all the help that gave me, especially Brandon! He was so very helpful for special request I've made! Really appreciate it! Will recommend my friends if Travel Insurance is needed,"
158,Customer,US,7 days ago,when the system wouldn't process my credit card I abandoned it in frustration.  Their agent called me within 10 minutes and helped me complete the process!I did find email response to specific pre-purchase questions was somewhat slow.
159,Customer,US,7 days ago,Very helpful and courteous explanations and service. Much appreciated!
160,Leeann,US,7 days ago,"Easy to search for the type insurance and coverage needed.  Results were immediate, and the insurance price was great with a highly recommended company."
161,Linda F,US,7 days ago,Darren B helped me with my travel insurance. He was very professional and was wonderful to work. He was also very knowledgeable.
162,Julaine Kiehn,US,7 days ago,Thank you for the great comparison feature and listing of the various options!  It was easy and convenient.
163,Customer,US,7 days ago,N/A
164,Bruce,US,7 days ago,Found this web site to be well organized and easy to navigate. All optional plans were well presented and easy to compare.
165,Phil,N/A,7 days ago,N/A
166,June Thompson,US,7 days ago,"This was easy and less complicated than other times we have got travel insurance, lots of options and very reasonably priced"
167,Erf,US,7 days ago,"Jamie walked us through using the website to obtain quotes. Quick and painless. He explained why the coverage in the highlighted policy was the best for us, although the policy wasn't the cheapest. The prices seemed very good. The email from the insurance company, with the policy number, arrived as promised. We are very satisfied with the service and assistance we received."
168,Barbara,US,7 days ago,I talked to Beth and another lady.  Both were very friendly and helpful.
169,Customer,US,7 days ago,Trip did not start and hope not to use it! However agent was excellent!
170,Sara Rathner,N/A,"Apr 23, 2022",N/A
171,Customer,US,"Apr 23, 2022",N/A
172,Laurie Godfrey,US,"Apr 23, 2022",Easy quick service. Most helpful-
173,Customer,US,"Apr 23, 2022",Representative helped me compare several oprions and answered all my questions.
174,Robert Olivas,US,"Apr 23, 2022",Teri was most helpful in providing answers for all the questions I asked. Based on that information I could make a wise decision and get the best coverage for this much anticipated trip. Thanks again. Robert.
175,David,US,"Apr 23, 2022","Customer service was outstanding and explained every detail of the policy, and since this was an international trip, brought up things I never knew or thought to ask."
176,Sgal,US,"Apr 23, 2022","I was buying travel insurance for a cruise and had a concern. Talked to 2 agents who were both upbeat and very professional and efficient. Solved my problem and understood my questions regarding the type of insurance coverage that was included and a technical matter once purchased.  Just outstanding!  Wish all online services were this good.  The world would be a better, calmer place. lol"
177,Customer,US,"Apr 23, 2022",N/A
178,Dominic Borland,US,"Apr 22, 2022",Knowledgeable Staff. Quick and Easy
179,Customer,US,"Apr 22, 2022",Excellent customer service. Available by chat immediately. Answered all my questions.  Provided quotes immediately.  Very reasonable cost for coverage I needed.
180,Dick E,US,"Apr 22, 2022","All questions were quickly answered in a very friendly, professional manner.Answers were clear and precise. Very pleasant experience."
181,Dorothy Graham,US,"Apr 22, 2022","I asked for a quote online and got an automated one.  My husband called the next day to ask questions of the person, Melanie, who had sent the automated quote of $1038, roughly, and she answered the questions and reiterated the quote amount on the phone.  My husband called back a day later and talked to Jamie, who told him the quote was now a bit less than the one Melanie had given.  My husband checked with me, and we decided to buy.  When my husband called back that same day, he was told that I had made a mistake on the final payment date on the auto quote form, that I had entered 2020 instead of 2022 on the form; therefore the old quotes were invalid.  A supervisor Aaron told him the new quote was in the mid $1600s.. I called Aaron to try to understand how all this had happened and how 3 different conversations had failed to uncover this error and to ask how we could now be sure the current quote would be honored and result in a valid policy.  The failure 3 times of employees to verify customer information and therefore failure to issue a correct quote 3 different times does not inspire confidence in your company and its employees.  Aaron apparently caught the error and was able to explain how it all transpired, but really your other employees need training, or a working brain with which to do a credible job."
182,Muriel Rawson.,US,"Apr 22, 2022",I spoke to Mckinne regarding my options for travel insurance & issues I was concerned about. She addressed all my questions/concerns clearly & even took the time to repeat her answers when I wanted to make sure I understood everything since it was my first time buying a policy.  She was very patient & informed me that if I had any other concerns to call back. Great customer service indeed. Kudos to you Mckinne and thank you.
183,Md,US,"Apr 22, 2022",Jamie was patient and thorough and helped an old lady out.  Lovely young man.   5 starts!
184,Afb,US,"Apr 22, 2022",I received excellent assistence from Stacey.  She was knowledgable and patient and advised me on the best trip and medical coverage for our trip to Europe .
185,Jim Adams,US,"Apr 22, 2022","Kayla was extremely helpful, very knowledgeable on all various option and choice And very friendly too.  I have recommended your website to the three other couples on the trip."
186,Customer,US,"Apr 22, 2022",N/A
187,Hubbard Robert & Barbara,US,"Apr 22, 2022",excellent service Mckinna explained everything & thank you. Barbara Hubbard carnival 10/31/22 4 day trip
188,Tom H.,US,"Apr 22, 2022",All questions regarding travel insurance were all handled in a professional and expeditious manner. Highly impressed with the knowledge and responsiveness.
189,Marlin,US,"Apr 22, 2022","The lady I talked to was very helpful in determining which travel policy to buy. She answered all my questions very patiently and clearly.Thank you,marlin barad"
190,Dave,US,"Apr 22, 2022",I randomly went to your website from a Google search.  I talked with Beth and another gentleman and both were knowledgable of the different products.  Being first time users of trip Insurance we didn't know what we didn't know but they led us through the options.  They did a good job.Dave
191,Jeff,US,"Apr 22, 2022",Phone was answered on the second ring. Matthew was very helpful.  AIG plans were different than the Travel guard website (more comprehensive and less expensive???)  Process was super easy!!!!
192,Customer,US,"Apr 22, 2022",Nicole did a great job getting us ready for our travels.  Very responsive and helpful!
193,Customer,US,"Apr 22, 2022","Nice and friendly, took his time to explain"
194,Customer,US,"Apr 22, 2022",N/A
195,Paul Deaver,TR,"Apr 22, 2022",Easy and quick process to find the best health and travel insurance to fit my needs.
196,Customer,US,"Apr 22, 2022","When I was trying to make payment, my credit card information repeatedly stated an error.  Through the chat link, Nicole tried to help me input the card information & again received an error.  She suggested that I use another credit card, & it worked! I am so grateful for her assistance."
197,Mariya Spektor,US,"Apr 22, 2022","I get very authentic, and friendly help.I needed two travel insurances for senior citizens. Called for estimation first. Received very detailed descriptions of options and prices. I call to other vendors with the same questions, and received estimates for the same insurance  company with less impressive coverage options and bigger prices.I returned back to Aardy in some time. Some other agent answer my call.To my surprise my estimate was honored, and Paperwork was finished in no time. All insurance documents I received immediately via email.Two nice and knowledgeable gentlemen were working with me. GREAT THANKS to BRENDON and JEROME."
198,Linda,US,"Apr 22, 2022","This was an excellent experience!  Kayla was incredibly professional, kind, patient and knowledgeable and helped me to find the best travel insurance policy based on my needs. I highly recommend!"
